facility,year,category,explanation,n,percentage,classification
SMCH,2023,Preterm-SGA,Included in analysis,205,25.9165613147914,SGA
SMCH,2023,Missing BW,Missing BW,9,1.1378002528445006,SGA
SMCH,2023,Missing GA,Missing GA,8,1.0113780025284451,SGA
SMCH,2023,Total,All deliveries considered,791,100,SGA
SMCH,2024,Term-AGA,Included in analysis,148,22.526636225266362,SGA
SMCH,2024,Term-SGA,Included in analysis,108,16.43835616438356,SGA
SMCH,2024,Preterm-AGA,Included in analysis,217,33.02891933028919,SGA
SMCH,2024,Preterm-SGA,Included in analysis,165,25.11415525114155,SGA
SMCH,2024,Missing BW,Missing BW,18,2.73972602739726,SGA
SMCH,2024,Missing GA,Missing GA,1,0.15220700152207,SGA
SMCH,2024,Total,All deliveries considered,657,100,SGA
SMCH,2025,Term-AGA,Included in analysis,235,23.33664349553128,SGA
SMCH,2025,Term-SGA,Included in analysis,163,16.186693147964252,SGA
SMCH,2025,Preterm-AGA,Included in analysis,357,35.45183714001986,SGA
SMCH,2025,Preterm-SGA,Included in analysis,229,22.740814299900695,SGA
SMCH,2025,Missing BW,Missing BW,13,1.2909632571996028,SGA
SMCH,2025,Missing GA,Missing GA,10,0.9930486593843099,SGA
SMCH,2025,Total,All deliveries considered,1007,100,SGA
