facility,classification,category,exposure_variable,comparison,group1,group2,n_group1,NND_group1,CFR_group1_pct,n_group2,NND_group2,CFR_group2_pct,chisq_statistic,chisq_df,chisq_p_value,fisher_p_raw,n_pairs_tested,fisher_p_bonferroni,low_expected_count_warning
SMCH,Birthweight,VLBW,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),755,432,57.2,195,105,53.8,0.9411,2,0.624669,0.418216,3,1,FALSE
SMCH,Birthweight,VLBW,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),755,432,57.2,489,270,55.2,0.9411,2,0.624669,0.519686,3,1,FALSE
SMCH,Birthweight,VLBW,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),195,105,53.8,489,270,55.2,0.9411,2,0.624669,0.798569,3,1,FALSE
SMCH,SGA,Preterm-AGA,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),2515,739,29.4,446,124,27.8,0.7249,2,0.695959,0.5341,3,1,FALSE
SMCH,SGA,Preterm-AGA,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),2515,739,29.4,1360,386,28.4,0.7249,2,0.695959,0.528562,3,1,FALSE
SMCH,SGA,Preterm-AGA,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),446,124,27.8,1360,386,28.4,0.7249,2,0.695959,0.855764,3,1,FALSE
SMCH,SGA,Preterm-SGA,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),1159,414,35.7,218,80,36.7,0.5649,2,0.753941,0.817475,3,1,FALSE
SMCH,SGA,Preterm-SGA,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),1159,414,35.7,682,234,34.3,0.5649,2,0.753941,0.544806,3,1,FALSE
SMCH,SGA,Preterm-SGA,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),218,80,36.7,682,234,34.3,0.5649,2,0.753941,0.515167,3,1,FALSE
SMCH,SGA,Term-AGA,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),6307,472,7.5,91,6,6.6,6.1635,2,0.045878,1,3,1,FALSE
SMCH,SGA,Term-AGA,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),6307,472,7.5,2312,210,9.1,6.1635,2,0.045878,0.016923,3,0.05077,FALSE
SMCH,SGA,Term-AGA,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),91,6,6.6,2312,210,9.1,6.1635,2,0.045878,0.573524,3,1,FALSE
SMCH,SGA,Term-SGA,Antenatal Steroids,Steroids Not Used (N) vs. Steroids Used (Y),Steroids Not Used (N),Steroids Used (Y),3399,436,12.8,62,5,8.1,3.3249,2,0.189672,0.337667,3,1,FALSE
SMCH,SGA,Term-SGA,Antenatal Steroids,Steroids Not Used (N) vs. Unsure (U),Steroids Not Used (N),Unsure (U),3399,436,12.8,1362,195,14.3,3.3249,2,0.189672,0.170562,3,0.511687,FALSE
SMCH,SGA,Term-SGA,Antenatal Steroids,Steroids Used (Y) vs. Unsure (U),Steroids Used (Y),Unsure (U),62,5,8.1,1362,195,14.3,3.3249,2,0.189672,0.193497,3,0.580491,FALSE
